"CAPITULO","NOMBRE_CAPITULO","COD_3","DESCRIPCION_COD_3","COD_4","DESCRIPCION_COD_4","CDM","DESCRIPCION_CDM","CE","DESCRIPCION_CE"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A03","Shigelosis","A031","Shigelosis debida a Shigella flexneri",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A03","Shigelosis","A032","Shigelosis debida a Shigella boydii",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A03","Shigelosis","A033","Shigelosis debida a Shigella sonnei",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A03","Shigelosis","A038","Otras shigelosis",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A03","Shigelosis","A039","Shigelosis de tipo no especificado",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A04","Otras Infecciones Intestinales Bacterianas","A040","Infeccion debida a Escherichia coli enteropatogena",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A04","Otras Infecciones Intestinales Bacterianas","A041","Infeccion debida a Escherichia coli enterotoxigena",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A04","Otras Infecciones Intestinales Bacterianas","A042","Infeccion debida a Escherichia coli enteroinvasiva",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A04","Otras Infecciones Intestinales Bacterianas","A043","Infeccion debida a Escherichia coli enterohemorragica",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A04","Otras Infecciones Intestinales Bacterianas","A044","Otras infecciones intestinales debidas a Escherichia coli",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A04","Otras Infecciones Intestinales Bacterianas","A045","Enteritis debida a Campylobacter",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A04","Otras Infecciones Intestinales Bacterianas","A046","Enteritis debida a Yersinia enterocolitica",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A04","Otras Infecciones Intestinales Bacterianas","A047","Enterocolitis debida a Clostridium difficile",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A04","Otras Infecciones Intestinales Bacterianas","A048","Otras infecciones intestinales bacterianas especificadas",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A04","Otras Infecciones Intestinales Bacterianas","A049","Infeccion intestinal bacteriana  no especificada",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A05","Otras Intoxicaciones Alimentarias Bacterianas No Clasificadas En Otra Parte","A050","Intoxicacion alimentaria estafilococica",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A05","Otras Intoxicaciones Alimentarias Bacterianas No Clasificadas En Otra Parte","A051","Botulismo",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A05","Otras Intoxicaciones Alimentarias Bacterianas No Clasificadas En Otra Parte","A052","Intoxicacion alimentaria debida a Clostridium perfringens [Clostridium welchii]",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A05","Otras Intoxicaciones Alimentarias Bacterianas No Clasificadas En Otra Parte","A053","Intoxicacion alimentaria debida a Vibrio parahaemolyticus",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A05","Otras Intoxicaciones Alimentarias Bacterianas No Clasificadas En Otra Parte","A054","Intoxicacion alimentaria debida a Bacillus cereus",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A05","Otras Intoxicaciones Alimentarias Bacterianas No Clasificadas En Otra Parte","A058","Otras intoxicaciones alimentarias debidas a bacterias especificadas",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A05","Otras Intoxicaciones Alimentarias Bacterianas No Clasificadas En Otra Parte","A059","Intoxicacion alimentaria bacteriana  no especificada",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A06","Amebiasis","A060","Disenteria amebiana aguda",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A06","Amebiasis","A061","Amebiasis intestinal cronica",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A06","Amebiasis","A062","Colitis amebiana no disenterica",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A06","Amebiasis","A063","Ameboma intestinal",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A06","Amebiasis","A064","Absceso amebiano del higado",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A06","Amebiasis","A065","Absceso amebiano del pulmon",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A06","Amebiasis","A066","Absceso amebiano del cerebro",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A06","Amebiasis","A067","Amebiasis cutanea",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A06","Amebiasis","A068","Infeccion amebiana de otras localizaciones",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A06","Amebiasis","A069","Amebiasis  no especificada",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A07","Otras Enfermedades Intestinales Debidas A Protozoarios","A070","Balantidiasis",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A07","Otras Enfermedades Intestinales Debidas A Protozoarios","A071","Giardiasis [lambliasis]",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A07","Otras Enfermedades Intestinales Debidas A Protozoarios","A072","Criptosporidiosis",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A07","Otras Enfermedades Intestinales Debidas A Protozoarios","A073","Isosporiasis",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A07","Otras Enfermedades Intestinales Debidas A Protozoarios","A078","Otras enfermedades intestinales especificadas debidas a protozoarios",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A07","Otras Enfermedades Intestinales Debidas A Protozoarios","A079","Enfermedad intestinal debida a protozoarios  no especificada",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A08","Infecciones Intestinales Debidas A Virus Y Otros Organismos Especificados","A080","Enteritis debida a rotavirus",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A08","Infecciones Intestinales Debidas A Virus Y Otros Organismos Especificados","A081","Gastroenteropatia aguda debida al agente de Norwalk",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A08","Infecciones Intestinales Debidas A Virus Y Otros Organismos Especificados","A082","Enteritis debida a adenovirus",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A08","Infecciones Intestinales Debidas A Virus Y Otros Organismos Especificados","A083","Otras enteritis virales",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A08","Infecciones Intestinales Debidas A Virus Y Otros Organismos Especificados","A084","Infeccion intestinal viral  sin otra especificacion",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A08","Infecciones Intestinales Debidas A Virus Y Otros Organismos Especificados","A085","Otras infecciones intestinales especificadas",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A09","Otras gastroenteritis y colitis de origen infeccioso y no especificado","A090","Otras gastroenteritis y colitis de origen infeccioso",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A09","Otras gastroenteritis y colitis de origen infeccioso y no especificado","A099","Gastroenteritis y colitis de origen no especificado",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A15","Tuberculosis Respiratoria  Confirmada Bacteriologica E Histologicamente","A150","Tuberculosis del pulmon  confirmada por hallazgo microscopico del bacilo tuberculoso en esputo  con o sin cultivo",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A15","Tuberculosis Respiratoria  Confirmada Bacteriologica E Histologicamente","A151","Tuberculosis del pulmon  confirmada unicamente por cultivo",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A15","Tuberculosis Respiratoria  Confirmada Bacteriologica E Histologicamente","A152","Tuberculosis del pulmon  confirmada histologicamente",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A15","Tuberculosis Respiratoria  Confirmada Bacteriologica E Histologicamente","A153","Tuberculosis del pulmon  confirmada por medios no especificados",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A15","Tuberculosis Respiratoria  Confirmada Bacteriologica E Histologicamente","A154","Tuberculosis de ganglios linfaticos intratoracicos  confirmada bacteriologica e histologicamente",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A15","Tuberculosis Respiratoria  Confirmada Bacteriologica E Histologicamente","A155","Tuberculosis de laringe  traquea y bronquios  confirmada bacteriologica e histologicamente",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A15","Tuberculosis Respiratoria  Confirmada Bacteriologica E Histologicamente","A156","Pleuresia tuberculosa  confirmada bacteriologica e histologicamente",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A15","Tuberculosis Respiratoria  Confirmada Bacteriologica E Histologicamente","A157","Tuberculosis respiratoria primaria  confirmada bacteriologica e histologicamente",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A15","Tuberculosis Respiratoria  Confirmada Bacteriologica E Histologicamente","A158","Otras tuberculosis respiratorias  confirmadas bacteriologica e histologicamente",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A15","Tuberculosis Respiratoria  Confirmada Bacteriologica E Histologicamente","A159","Tuberculosis respiratoria no especificada  confirmada bacteriologica e histologicamente",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A16","Tuberculosis Respiratoria  No Confirmada Bacteriologica E Histologicamente","A160","Tuberculosis del pulmon  con examen bacteriologico e histologico negativos",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A16","Tuberculosis Respiratoria  No Confirmada Bacteriologica E Histologicamente","A161","Tuberculosis de pulmon  sin examen bacteriologico e histologico",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A16","Tuberculosis Respiratoria  No Confirmada Bacteriologica E Histologicamente","A162","Tuberculosis de pulmon  sin mencion de confirmacion bacteriologica o histologica",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A16","Tuberculosis Respiratoria  No Confirmada Bacteriologica E Histologicamente","A163","Tuberculosis de ganglios linfaticos intratoracicos  sin mencion de confirmacion bacteriologica o histologica",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A16","Tuberculosis Respiratoria  No Confirmada Bacteriologica E Histologicamente","A164","Tuberculosis de laringe  traquea y bronquios  sin mencion de confirmacion bacteriologica o histologica",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A16","Tuberculosis Respiratoria  No Confirmada Bacteriologica E Histologicamente","A165","Pleuresia tuberculosa  sin mencion de confirmacion bacteriologica o histologica",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A16","Tuberculosis Respiratoria  No Confirmada Bacteriologica E Histologicamente","A167","Tuberculosis respiratoria primaria  sin mencion de confirmacion bacteriologica o histologica",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A16","Tuberculosis Respiratoria  No Confirmada Bacteriologica E Histologicamente","A168","Otras tuberculosis respiratorias  sin mencion de confirmacion",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A16","Tuberculosis Respiratoria  No Confirmada Bacteriologica E Histologicamente","A169","Tuberculosis respiratoria no especificada  sin mencion de confirmacion bacteriologica o histologica",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A17","Tuberculosis Del Sistema Nervioso","A170","Meningitis tuberculosa",1,"1. Enfermedades y trastornos del sistema nervioso.","H","SNC"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A17","Tuberculosis Del Sistema Nervioso","A171","Tuberculoma meningeo",1,"1. Enfermedades y trastornos del sistema nervioso.","H","SNC"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A17","Tuberculosis Del Sistema Nervioso","A178","Otras tuberculosis del sistema nervioso",1,"1. Enfermedades y trastornos del sistema nervioso.","H","SNC"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A17","Tuberculosis Del Sistema Nervioso","A179","Tuberculosis del sistema nervioso  no especificada",1,"1. Enfermedades y trastornos del sistema nervioso.","H","SNC"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A18","Tuberculosis De Otros Organos","A180","Tuberculosis de huesos y articulaciones",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A18","Tuberculosis De Otros Organos","A181","Tuberculosis del aparato genitourinario",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A18","Tuberculosis De Otros Organos","A182","Linfadenopatia periferica tuberculosa",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A18","Tuberculosis De Otros Organos","A183","Tuberculosis de los intestinos  el peritoneo y los ganglios mesentericos",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A18","Tuberculosis De Otros Organos","A184","Tuberculosis de la piel y el tejido subcutaneo",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A18","Tuberculosis De Otros Organos","A185","Tuberculosis del ojo",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A18","Tuberculosis De Otros Organos","A186","Tuberculosis del oido",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A18","Tuberculosis De Otros Organos","A187","Tuberculosis de glandulas suprarrenales",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A18","Tuberculosis De Otros Organos","A188","Tuberculosis de otros organos especificados",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A19","Tuberculosis Miliar","A190","Tuberculosis miliar aguda de un solo sitio especificado",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A19","Tuberculosis Miliar","A191","Tuberculosis miliar aguda de sitios multiples",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A19","Tuberculosis Miliar","A192","Tuberculosis miliar aguda  no especificada",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A19","Tuberculosis Miliar","A198","Otras tuberculosis miliares",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A19","Tuberculosis Miliar","A199","Tuberculosis miliar  sin otra especificacion",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A20","Peste","A200","Peste bubonica",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A20","Peste","A201","Peste celulocutanea",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A20","Peste","A202","Peste neumonica",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A20","Peste","A203","Meningitis por peste",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A20","Peste","A207","Peste septicemica",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A20","Peste","A208","Otras formas de peste",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A20","Peste","A209","Peste  no especificada",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A21","Tularemia","A210","Tularemia ulceroglandular",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A21","Tularemia","A211","Tularemia oculoglandular",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A21","Tularemia","A212","Tularemia pulmonar",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A21","Tularemia","A213","Tularemia gastrointestinal",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A21","Tularemia","A217","Tularemia generalizada",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A21","Tularemia","A218","Otras formas de tularemia",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
